place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJs8lGyt1zhlQRssgeHveYgiU,Canadian Tire,,False,3989,https://www.canadiantire.ca/en/store-details/bc/cambie-7th-bc-389.html?utm_source=google&utm_medium=lss&utm_content=389,Canadian Tire (Owner),https://www.google.com/maps/contrib/116649980637182005219,https://lh5.googleusercontent.com/p/AF1QipPgCBfrR56V3sJ-xLn7ANB78YDAV6eq2BRvtko3=w426-h240-k-no,Department store,"Department store, Auto parts store, Garden center, Home goods store, Home improvement store, Oil change service, Party store, Sporting goods store, Tire shop",3.7,9 a.m.-9 p.m.,,(604) 707-2290,"Canadian Tire, 2290 Cambie St, Vancouver, BC V5Z 2T7","bike, tires, tools, inspection, gardening, auto service, gear, brake, parking ticket, flyer",https://www.google.com/maps/place/Canadian+Tire/data=!4m7!3m6!1s0x548673ddca46c9b3:0x258298f71e1ec8b2!8m2!3d49.2652952!4d-123.1137803!16s%2Fg%2F1ts_68_2!19sChIJs8lGyt1zhlQRssgeHveYgiU?authuser=0&hl=en&rclk=1
ChIJkzFdwdF2hlQRgXWFwDJ5rhc,Canadian Tire,,False,3468,https://www.canadiantire.ca/en/store-details/bc/vancouver-grandview-boundary-bc-604.html%3Futm_source%3Dgoogle%26utm_medium%3Dlss%26utm_content%3D604,Canadian Tire (Owner),https://www.google.com/maps/contrib/118288223897786753708,https://lh5.googleusercontent.com/p/AF1QipPsH3wWihT_7YarJ70QLrxpG_FJbWhIS_7fdLGN=w426-h240-k-no,Department store,"Department store, Auto parts store, Garden center, Home goods store, Home improvement store, Oil change service, Party store, Sporting goods store, Tire shop",3.8,9 a.m.-9 p.m.,,(604) 431-3570,"Canadian Tire, 2830 Bentall St, Vancouver, BC V5M 4H4","self checkout, tires, auto service, hunting, wiper, van, mechanic, car battery, bulb, flyer",https://www.google.com/maps/place/Canadian+Tire/data=!4m7!3m6!1s0x548676d1c15d3193:0x17ae7932c0857581!8m2!3d49.2596026!4d-123.031032!16s%2Fg%2F1v41_4k3!19sChIJkzFdwdF2hlQRgXWFwDJ5rhc?authuser=0&hl=en&rclk=1
ChIJHWzHwvF0hlQRb3btui47PZk,Canadian Tire,,False,2295,https://www.canadiantire.ca/en/store-details/bc/vancouver-sw-marine-bc-605.html%3Futm_source%3Dgoogle%26utm_medium%3Dlss%26utm_content%3D605,Canadian Tire (Owner),https://www.google.com/maps/contrib/113910109818817501964,https://lh5.googleusercontent.com/p/AF1QipPYfDr7NQYNbILkZ24KF4TfMSNGAXHn42yFRkTu=w426-h240-k-no,Department store,"Department store, Auto parts store, Garden center, Home goods store, Oil change service, Sporting goods store, Tire shop",3.9,8 a.m.-9 p.m.,,(604) 336-1086,"Canadian Tire, 8277 Ontario St, Vancouver, BC V5X 0A7","tires, tools, garden, auto service, walking, bike, battery, training, paint, BBQ",https://www.google.com/maps/place/Canadian+Tire/data=!4m7!3m6!1s0x548674f1c2c76c1d:0x993d3b2ebaed766f!8m2!3d49.2099093!4d-123.1075351!16s%2Fg%2F1w6r7zgf!19sChIJHWzHwvF0hlQRb3btui47PZk?authuser=0&hl=en&rclk=1
ChIJOeCIEItwhlQRuMIeg7P3lY8,Canadian Tire,,False,2067,https://www.canadiantire.ca/en/store-details/bc/north-vancouver-main-bc-601.html?utm_source=google&utm_medium=lss&utm_content=601,Canadian Tire (Owner),https://www.google.com/maps/contrib/101637220663381914229,https://lh5.googleusercontent.com/p/AF1QipPFBtgp2Cx-YATJ0TWmogDjHF688BHuQdLs4CdM=w408-h306-k-no,Department store,"Department store, Auto parts store, Garden center, Home goods store, Home improvement store, Oil change service, Party store, Sporting goods store, Tire shop",4,8 a.m.-9 p.m.,,(604) 982-9100,"Canadian Tire, 1350 Main St, North Vancouver, BC V7J 1C6","tires, tools, vehicle, battery, auto service, brake, self checkout, inspection, leaking, rims",https://www.google.com/maps/place/Canadian+Tire/data=!4m7!3m6!1s0x5486708b1088e039:0x8f95f7b3831ec2b8!8m2!3d49.3078664!4d-123.035205!16s%2Fg%2F1hc6m7dvw!19sChIJOeCIEItwhlQRuMIeg7P3lY8?authuser=0&hl=en&rclk=1
ChIJWfs4UCd1hlQRwicuhMyeR5s,Canadian Tire,,False,1771,https://www.canadiantire.ca/en/store-details/bc/richmond-bc-606.html%3Futm_source%3Dgoogle%26utm_medium%3Dlss%26utm_content%3D606,Canadian Tire (Owner),https://www.google.com/maps/contrib/118381669612436851170,https://lh5.googleusercontent.com/p/AF1QipOGppRjY8Qt_hPHciAfQrhbkGb3k6QjZy-62ZgW=w426-h240-k-no,Department store,"Department store, Auto parts store, Garden center, Home goods store, Home improvement store, Oil change service, Party store, Sporting goods store, Tire shop",3.5,8 a.m.-9 p.m.,,(604) 273-2939,"Canadian Tire, 3500 No. 3 Rd, Richmond, BC V6X 2C1","auto service, tools, counter, oil, battery, bike, vehicle, inspection, backpack, ticket",https://www.google.com/maps/place/Canadian+Tire/data=!4m7!3m6!1s0x548675275038fb59:0x9b479ecc842e27c2!8m2!3d49.1880608!4d-123.132228!16s%2Fg%2F1tdz93cp!19sChIJWfs4UCd1hlQRwicuhMyeR5s?authuser=0&hl=en&rclk=1
ChIJJcUQNMtzhlQRVUZkJrhLGkI,Canadian Tire Auto Service Centre,,False,142,http://www.canadiantire.ca/en/store-details.bc.cambie-7th-bc.html,Canadian Tire Auto Service Centre (Owner),https://www.google.com/maps/contrib/102579134436501725667,https://lh5.googleusercontent.com/p/AF1QipMJSS8C6WTGip9mtwwGGeuyOfZ2hjeTWZrkuEwJ=w408-h306-k-no,Car repair and maintenance service,Car repair and maintenance service,3.9,7 a.m.-7 p.m.,,(604) 707-2291,"Canadian Tire Auto Service Centre, 2290 Cambie St, Vancouver, BC V5Z 2T7","price, inspection, vehicle, desk, flat tire, battery, costs, call, parking, team",https://www.google.com/maps/place/Canadian+Tire+Auto+Service+Centre/data=!4m7!3m6!1s0x548673cb3410c525:0x421a4bb826644655!8m2!3d49.2649692!4d-123.1130271!16s%2Fg%2F11f5tyy17z!19sChIJJcUQNMtzhlQRVUZkJrhLGkI?authuser=0&hl=en&rclk=1
ChIJIW7uJPl3hlQRyYL-WFRrYmY,Canadian Tire Auto Service Centre,,False,87,https://www.canadiantire.ca/en/auto-service.html%3Fgclid%3DCjwKCAiAob3vBRAUEiwAIbs5TouldMFwDT_tbaP7kHxDTAAWv53XgoOnxmYm0Uaysdv3nrsu8J8FNBoCtNwQAvD_BwE%26gclsrc%3Daw.ds,Canadian Tire Auto Service Centre (Owner),https://www.google.com/maps/contrib/114432542233042951601,https://lh5.googleusercontent.com/p/AF1QipOYlKA01Lmjdm7qjlTT_zVSBcgkxATqDo-inwN7=w408-h380-k-no,Auto repair shop,"Auto repair shop, Auto machine shop, Auto parts store, Car repair and maintenance service, Mechanic, Tire shop, Vehicle inspection service",3.6,9 a.m.-9 p.m.,,(604) 431-3572,"Canadian Tire Auto Service Centre, 2830 Bentall St, Vancouver, BC V5M 4H4","prices, vehicle, tires, oil, work, call, inspection, mechanic",https://www.google.com/maps/place/Canadian+Tire+Auto+Service+Centre/data=!4m7!3m6!1s0x548677f924ee6e21:0x66626b5458fe82c9!8m2!3d49.2594553!4d-123.0317817!16s%2Fg%2F11h90y77pp!19sChIJIW7uJPl3hlQRyYL-WFRrYmY?authuser=0&hl=en&rclk=1
