place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJq5AQWXh1hlQROdrzkhoq29o,Fitness World,,True,740,https://www.fitnessworld.ca/locations/marine-gateway/,Fitness World (Owner),https://www.google.com/maps/contrib/115037735279117802319,https://lh5.googleusercontent.com/p/AF1QipMmrNaCpm-c3u61-DaR9XiFKRarLpZWQ_RtBlZ9=w408-h544-k-no,Gym,"Gym, Fitness center, Health spa, Indoor cycling, Personal trainer, Yoga studio",3.8,5 a.m.-10 p.m.,,(604) 558-4970,"Fitness World, 447 Interurban Wy, Vancouver, BC V5X 0C7","personal trainer, goals, desk, fee, plan, equipment, contract, benches, diet, lying",https://www.google.com/maps/place/Fitness+World/data=!4m7!3m6!1s0x54867578591090ab:0xdadb2a1a92f3da39!8m2!3d49.2094909!4d-123.1155582!16s%2Fg%2F11hkmrpr8j!19sChIJq5AQWXh1hlQROdrzkhoq29o?authuser=0&hl=en&rclk=1
ChIJkTiOmkhzhlQR2X8XWSeCJ24,Gold's Gym West Broadway,,True,674,https://goldsgymbc.ca/vancouver,Gold's Gym West Broadway (Owner),https://www.google.com/maps/contrib/104589094036645784704,https://lh5.googleusercontent.com/p/AF1QipPOJx-Buid_ru1zFU2U1wUaTi-fRUc8f5c47DCM=w408-h272-k-no,Gym,"Gym, Fitness center, Indoor cycling, Personal trainer, Physical fitness program, Sauna, Weight loss service, Weightlifting area, Yoga studio",4.2,5 a.m.-11 p.m.,,(604) 620-4653,"Gold's Gym West Broadway, 709 W Broadway, Vancouver, BC V5Z 1J5","trainer, clean, equipment, contract, fees, parking, management, emails, brand, desk",https://www.google.com/maps/place/Gold%27s+Gym+West+Broadway/data=!4m7!3m6!1s0x548673489a8e3891:0x6e27822759177fd9!8m2!3d49.2634378!4d-123.1202924!16s%2Fg%2F11ghnb623t!19sChIJkTiOmkhzhlQR2X8XWSeCJ24?authuser=0&hl=en&rclk=1
ChIJ2YV1WsZzhlQRWlMOIW6U6Pk,Fitness World,,False,856,https://www.fitnessworld.ca/locations/cambie/,Fitness World (Owner),https://www.google.com/maps/contrib/100623364942473717545,https://lh5.googleusercontent.com/p/AF1QipMlnN_fJgJqOIGfQ3nSSZ1ryhakVnG_VbZvK33r=w408-h272-k-no,Gym,"Gym, Fitness center, Health spa, Indoor cycling, Personal trainer, Yoga studio",4,6 a.m.-10 p.m.,,(604) 558-4962,"Fitness World, 555 W 12th Ave, Vancouver, BC V5Z 3X7","personal training, manager, goals, equipment, desk, working out, fee, pay, contract, harassed",https://www.google.com/maps/place/Fitness+World/data=!4m7!3m6!1s0x548673c65a7585d9:0xf9e8946e210e535a!8m2!3d49.2607234!4d-123.117342!16s%2Fg%2F11jq74kg6r!19sChIJ2YV1WsZzhlQRWlMOIW6U6Pk?authuser=0&hl=en&rclk=1
ChIJ4zMyONhzhlQRRfD4ySb5r0o,Fitness World,,False,649,https://www.fitnessworld.ca/locations/kitsilano/,Fitness World (Owner),https://www.google.com/maps/contrib/114214983423004108479,https://lh5.googleusercontent.com/p/AF1QipOwdMherR2dk2_UMAr7oijTwZ5g_692V1LJcuAG=w408-h612-k-no,Gym,"Gym, Fitness center, Health spa, Indoor cycling, Personal trainer, Yoga studio",4.3,6 a.m.-10 p.m.,,(604) 558-4968,"Fitness World, 2150 W Broadway #200, Vancouver, BC V6K 4L9","personal trainer, desk, goals, working out, women's, fee, steve nash, wipes, credit card, policies",https://www.google.com/maps/place/Fitness+World/data=!4m7!3m6!1s0x548673d8383233e3:0x4aaff926c9f8f045!8m2!3d49.2636075!4d-123.1537636!16s%2Fg%2F11jq77jgkr!19sChIJ4zMyONhzhlQRRfD4ySb5r0o?authuser=0&hl=en&rclk=1
ChIJkfWVdO9zhlQR92DRH884KUU,Fitness World,,False,549,https://www.fitnessworld.ca/locations/downtown/,Fitness World (Owner),https://www.google.com/maps/contrib/108436888354745508995,https://lh5.googleusercontent.com/p/AF1QipMaD382fJpn8pnfiaOGCelXpRHyyM5uMoN95YBz=w408-h862-k-no,Gym,"Gym, Fitness center, Health spa, Indoor cycling, Personal trainer, Yoga studio",4.3,6 a.m.-10 p.m.,,(604) 558-4964,"Fitness World, 1214 Howe St, Vancouver, BC V6Z 1R5","personal trainer, equipment, goals, pay, working out, management, desk, email, steve nash, floors",https://www.google.com/maps/place/Fitness+World/data=!4m7!3m6!1s0x548673ef7495f591:0x452938cf1fd160f7!8m2!3d49.2775605!4d-123.1273321!16s%2Fg%2F11jrl2q93t!19sChIJkfWVdO9zhlQR92DRH884KUU?authuser=0&hl=en&rclk=1
ChIJg51xK7lxhlQRQ0aiXinIzVM,Fitness World,,False,217,https://www.fitnessworld.ca/locations/georgia/,Fitness World (Owner),https://www.google.com/maps/contrib/114998447856971919722,https://lh5.googleusercontent.com/p/AF1QipOlTbYAbXHpqnjwZIjnXUCssIfmJn4B3RfVcLS3=w408-h306-k-no,Gym,"Gym, Body shaping class, Fitness center, Health spa, Personal trainer, Physical fitness program, Spa and health club, Women's personal trainer, Yoga studio",4.2,5 a.m.-10 p.m.,,(604) 558-0807,"Fitness World, 1185 W Georgia St #200, Vancouver, BC V6E 4E6","equipment, desk, manager, personal training, facility, goals, payments, attitude, contract, plan",https://www.google.com/maps/place/Fitness+World/data=!4m7!3m6!1s0x548671b92b719d83:0x53cdc8295ea24643!8m2!3d49.2872573!4d-123.1247192!16s%2Fg%2F11t86c40kc!19sChIJg51xK7lxhlQRQ0aiXinIzVM?authuser=0&hl=en&rclk=1
