place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJ8WlwPi8XrjsRoio8OS1brLw,"Zinavo- Web Design Company in Bangalore, Web Development, eCommerce Web Development, SEO Services, Digital Marketing Agency",,False,681,https://www.zinavo.com/,"Zinavo- Web Design Company in Bangalore, Web Development, eCommerce Web Development, SEO Services, Digital Marketing Agency (Owner)",https://www.google.com/maps/contrib/116607083819902816970,https://lh5.googleusercontent.com/p/AF1QipMjlMvH3ZjLau10dM6ZgMMoGU-FMWO6ez6aoYD8=w408-h272-k-no,Website designer,"Website designer, Internet marketing service",4.6,9 a.m.-10 p.m.,Sunday,+91 80 4153 1025,"Zinavo- Web Design Company in Bangalore, Web Development, eCommerce Web Development, SEO Services, Digital Marketing Agency, R.K.Plaza, # 31,2nd Floor, 2nd Cross Rd, Subbaiahnapalya, Banaswadi, Bengaluru, Karnataka 560043, India","understanding, deliver, future, work, requirements, deadlines, application, pvt ltd, discussion, leads","https://www.google.com/maps/place/Zinavo-+Web+Design+Company+in+Bangalore,+Web+Development,+eCommerce+Web+Development,+SEO+Services,+Digital+Marketing+Agency/data=!4m7!3m6!1s0x3bae172f3e7069f1:0xbcac5b2d393c2aa2!8m2!3d13.01443!4d77.6480612!16s%2Fg%2F11h0l3y9l!19sChIJ8WlwPi8XrjsRoio8OS1brLw?authuser=0&hl=en&rclk=1"
ChIJQWbMS6wTrjsRUVo97n2K9Bs,"SeekNEO - Web Development, eCommerce Web Development, SEO Services, Digital Marketing Agency",,False,465,https://www.seekneo.com/,"SeekNEO - Web Development, eCommerce Web Development, SEO Services, Digital Marketing Agency (Owner)",https://www.google.com/maps/contrib/117148857706570628134,https://lh5.googleusercontent.com/p/AF1QipPTRrpUQ4bJIz7a6hGkpBgeV_D78WBoYBBfiltc=w408-h342-k-no,Website designer,Website designer,4.8,9:30 a.m.-9:30 p.m.,Sunday,+91 87626 87419,"SeekNEO - Web Development, eCommerce Web Development, SEO Services, Digital Marketing Agency, #286,Rajesh complex, 6th phase 1st stage, Rajaji Nagar Industrial Town, Bengaluru, Karnataka 560044, India","work, requirements, job, understanding, developers, deliver, app development, good services, skilled, learn","https://www.google.com/maps/place/SeekNEO+-+Web+Development,+eCommerce+Web+Development,+SEO+Services,+Digital+Marketing+Agency/data=!4m7!3m6!1s0x3bae13ac4bcc6641:0x1bf48a7dee3d5a51!8m2!3d12.9863763!4d77.5473899!16s%2Fg%2F11g2338zrl!19sChIJQWbMS6wTrjsRUVo97n2K9Bs?authuser=0&hl=en&rclk=1"
ChIJwbNTDUQUrjsRCrKZ4KUQEUA,Vistas,,False,115,https://vistasadindia.com/,Vistas (Owner),https://www.google.com/maps/contrib/117605809797848324032,https://lh5.googleusercontent.com/p/AF1QipOHcaU-XPxkGMGfr7eeod94ab4Um9TA17S0dauq=w408-h306-k-no,Website designer,"Website designer, Advertising agency, E commerce agency, E-commerce service, Graphic designer, Internet marketing service, Marketing agency, Web hosting company",4.2,9:30 a.m.-7:30 p.m.,Sunday,+91 96866 97974,"Door No 313, Vistas, 19th Main Road, 6th Block, Koramangala, Bengaluru, Karnataka 560095, India","web development, media, project, experience, company, content, efficient, writing, money, creative",https://www.google.com/maps/place/Vistas/data=!4m7!3m6!1s0x3bae14440d53b3c1:0x401110a5e099b20a!8m2!3d12.9417141!4d77.6228144!16s%2Fg%2F1tf273bk!19sChIJwbNTDUQUrjsRCrKZ4KUQEUA?authuser=0&hl=en&rclk=1
ChIJv8X2vVQVrjsRziyy_mKeKg4,Webshark Web Services - Best Website Design and E-commerce Development Company in Bangalore,,False,101,http://www.webshark.in/,Webshark Web Services - Best Website Design and E-commerce Development Company in Bangalore (Owner),https://www.google.com/maps/contrib/117110261036651831544,https://lh5.googleusercontent.com/p/AF1QipOaoA_iLKB8iZ2jF_3FbEnTtn80nIxm58KGKhSK=w408-h554-k-no,Website designer,Website designer,4.8,10 a.m.-7:30 p.m.,"Saturday, Sunday",+91 76203 61284,"Webshark Web Services - Best Website Design and E-commerce Development Company in Bangalore, 42/3, 4B, 2nd Floor, Near Kannakpura Main Road, 100FT, Outer Ring Rd, J. P. Nagar, Bengaluru, Karnataka 560078, India","website development, digital marketing, project, creative, experience, SEO, price, online store, my business, quality",https://www.google.com/maps/place/Webshark+Web+Services+-+Best+Website+Design+and+E-commerce+Development+Company+in+Bangalore/data=!4m7!3m6!1s0x3bae1554bdf6c5bf:0xe2a9e62feb22cce!8m2!3d12.9067981!4d77.5724812!16s%2Fg%2F11tflmdrbk!19sChIJv8X2vVQVrjsRziyy_mKeKg4?authuser=0&hl=en&rclk=1
ChIJ9eMVKwAVrjsR4jH6PD98m7g,Webgen,,False,37,https://www.webgen.in/,Webgen (Owner),https://www.google.com/maps/contrib/117156846212994871472,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=B6Mn7LxgNxurQD0JgC-8Sg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=172.21611&pitch=0&thumbfov=100,Website designer,"Website designer, Advertising agency, Internet marketing service, Marketing agency, Web hosting company",4.1,Open 24 hours,,+91 72591 04089,"Webgen, 73, 10th Main Rd, KEB Colony, 1st Stage, BTM 1st Stage, Bengaluru, Karnataka 560029, India",company,https://www.google.com/maps/place/Webgen/data=!4m7!3m6!1s0x3bae15002b15e3f5:0xb89b7c3f3cfa31e2!8m2!3d12.9198523!4d77.6074941!16s%2Fg%2F12q4t3y8x!19sChIJ9eMVKwAVrjsR4jH6PD98m7g?authuser=0&hl=en&rclk=1
